city_name	population	average_income	area_sq_km	founded_date	mayor_name	tourist_attractions	average_temperature	time_zone	major_industries
Guantánamo	779279	88455.79	719.12	9/18/1885	Amalle Delicate	museum	33.3	America/Havana	tourism
Zhongshanmen	2870978	67005.97	240.51	2/21/1847	Roddy Sudy	museum	-13.8	Asia/Shanghai	technology
Haninge	3023092	58170.12	683.37	4/1/1717	Franchot Blincow	museum	37.2	Europe/Stockholm	manufacturing
Göteborg	2664855	53543.97	353.98	1/23/1887	Amandie Coners	park	-17.3	Europe/Stockholm	manufacturing
Pho Thong	2773892	67551.56	692.24	10/9/1794	Nickie Wernham	park	-15.1	Asia/Bangkok	manufacturing
Liloy	6103279	95535.23	475.87	10/2/2007	Dorian Pullman	park	10.8	Asia/Manila	manufacturing
Yushang	2131730	51506.96	17.88	6/8/1719	Gay Haseman	museum	-9.3	Asia/Shanghai	tourism
Wanmu	2495092	68955.32	447.03	11/4/1995	Suzette Gwilliam	park	24.6	Asia/Chongqing	tourism
Bazha	1963880	51812.68	763.81	6/8/1724	Pearce Bourdas	museum	33.4	Asia/Urumqi	manufacturing
Jiangkou	5216523	92436.02	91.08	7/17/1772	Giraldo Eginton	monument	-13.5	Asia/Shanghai	manufacturing
Murygino	7799245	90503.26	366.69	6/20/1819	Virgina Kenforth	museum	25.3	Europe/Volgograd	technology
Smokvica	7163367	83869.54	881.4	6/22/1805	Sherwynd Krimmer	monument	13.2	Europe/Zagreb	tourism
Chisht-e Sharīf	878721	81070.29	668.08	8/19/1990	Nissie Shobbrook	monument	-15.5	Asia/Kabul	tourism
Soe	7951622	39379.77	372.83	3/20/1989	Wheeler Gowar	monument	0.9	Asia/Makassar	tourism
Bayān	2532360	54424.8	30.71	10/11/1837	Alexander Adami	museum	-18.3	Asia/Kuwait	technology
Mirontsi	4058510	75490.2	978.81	3/8/1736	Nessi Southcombe	museum	19.3	Indian/Comoro	technology
Moundou	2157430	87209.89	91.24	5/7/1714	Galvan Eirwin	park	-9.9	Africa/Ndjamena	technology
Jiangxi	6631948	35262.0	892.81	12/29/1898	Aurea Slator	museum	-14.4	Asia/Chongqing	tourism
Karukh	7288720	62485.03	991.04	8/31/1756	Anastasie Mawby	monument	32.3	Asia/Kabul	technology
Montgomery	130374	33344.38	805.51	11/9/1876	Sammy Edens	park	32.8	America/Chicago	technology
Bečej	2356239	42869.93	97.84	6/19/1750	Rhea Snaddin	park	-2.1	Europe/Belgrade	technology
Carolina	1665991	67559.26	111.09	8/2/1960	Octavia Dacombe	museum	-10.8	America/Puerto_Rico	tourism
Lantian	9174885	70355.97	967.26	3/6/1786	Merwyn Selwyn	park	-17.7	Asia/Shanghai	tourism
Nove-Misto	6881986	23657.95	556.76	8/25/1822	Itch Faithfull	monument	18.7	Europe/Kiev	technology
Jistebník	8210626	46969.75	168.27	2/9/1841	Emory Marchelli	museum	2.4	Europe/Prague	manufacturing
Ōnojō	4247573	90961.73	72.63	1/22/2008	Selene Christiensen	monument	38.6	Asia/Tokyo	technology
Tizgane	3558502	76656.96	39.64	5/30/1800	Risa Soppett	museum	-10.3	Africa/Casablanca	technology
Fenghuangdong	4661017	69624.36	843.57	7/19/1765	Eryn Bracher	park	-16.2	Asia/Shanghai	technology
Horní Bříza	2553724	54169.33	591.03	1/16/1909	Katheryn Chick	park	-5.5	Europe/Prague	manufacturing
Babantar	4302125	91119.84	562.07	2/6/2018	Ferdinand Littleproud	monument	1.3	Asia/Jakarta	manufacturing
Taunan	9673360	21161.69	971.41	3/22/1906	Fernando McCulloch	park	3.7	Asia/Jakarta	technology
Longqiao	9649209	62335.68	236.88	7/7/1791	Pammy Simpkins	park	-16.1	Asia/Chongqing	tourism
Ceerigaabo	2857004	49834.16	761.88	11/14/1848	Juditha Cotgrave	park	3.0	Africa/Mogadishu	tourism
Gangnan	121433	92233.97	112.46	8/28/1887	Tallie Oxnam	museum	-18.6	Asia/Shanghai	tourism
Shun’ga	7957199	91414.63	673.47	7/14/1701	Noella Dacombe	monument	-1.4	Europe/Moscow	tourism
Lanxi	8223709	23559.65	565.9	10/28/1979	Cullen Meffin	park	-7.3	Asia/Chongqing	tourism
Enskededalen	1025253	91773.33	322.95	1/16/2010	Jobye Coweuppe	museum	4.0	Europe/Stockholm	technology
Sundumbili	241101	63801.38	259.25	2/22/1927	Padraig Hayesman	monument	-9.2	Africa/Johannesburg	technology
Ouijjane	7332765	59784.34	526.31	10/11/1822	Cristie Twaite	monument	26.3	Africa/Casablanca	manufacturing
Fengting	5105971	21696.81	771.6	10/18/2013	Laughton Lewsley	monument	39.7	Asia/Shanghai	tourism
Cardal	2530237	69914.1	457.0	6/12/1706	Perri Draysey	park	0.6	Europe/Lisbon	manufacturing
Pasirtujuhpuluh	2187493	63008.83	196.31	7/3/1729	Mycah Odam	museum	-1.4	Asia/Jakarta	tourism
Anoek	4383708	76099.78	896.54	10/20/1790	Garold Denerley	monument	-18.8	Asia/Makassar	manufacturing
Letpandan	754887	76957.84	809.65	5/30/1723	Barbe Fearnyhough	park	33.7	Asia/Rangoon	tourism
Villanova	7978902	30465.86	462.05	9/10/1727	Roger Licciardi	monument	34.2	Europe/Rome	manufacturing
Yangzi	4784043	90991.61	499.83	3/29/1982	Germain Vipan	museum	18.1	Asia/Shanghai	tourism
Miskindzha	2888359	31556.84	937.11	10/14/1730	Theadora Klimuk	park	-15.4	Asia/Baku	tourism
Hewan	4438992	52858.04	846.96	9/10/1709	Olin Devo	monument	19.4	Asia/Shanghai	technology
Xinzhu	9499477	55693.7	229.95	12/10/1719	Zak Moan	park	32.4	Asia/Chongqing	tourism
Padaran	3463206	57820.76	11.38	5/4/1809	Hyacintha Bumfrey	park	-1.2	Asia/Jakarta	tourism
Longping	6991995	91052.32	924.86	4/12/1828	Angelle Sweet	museum	17.9	Asia/Chongqing	technology
Staraya Kulatka	2207366	98770.05	673.41	1/26/1881	Fayina Cohalan	museum	7.9	Europe/Volgograd	technology
Dongmaku	9896125	59016.25	552.92	9/17/1770	Sayre Lulham	park	1.3	Asia/Chongqing	tourism
Blinsung	9103685	46712.32	871.83	5/5/2012	Stanislas Mixer	park	-0.9	Asia/Manila	technology
Adolfo Lopez Mateos	3143248	83179.44	491.2	2/24/1810	Gabi Briston	museum	14.1	America/Mexico_City	tourism
Oeoh	8894813	89790.47	150.12	4/4/1864	Jory Garrod	museum	33.2	Asia/Makassar	tourism
Barqueiro	8762684	64703.6	925.05	7/18/1793	Evonne Purcer	monument	12.7	Europe/Lisbon	tourism
Sogamoso	626646	68564.64	400.61	8/21/1717	Claudio Gehrels	museum	-15.5	America/Bogota	manufacturing
Ciawi	9583413	41956.42	171.58	8/16/1823	Morgan Glazier	museum	-9.8	Asia/Jakarta	manufacturing
Gunung	3812254	96942.96	444.0	8/29/1923	Codi Dorn	park	-2.2	Asia/Jakarta	manufacturing
Aubergenville	5208172	50686.36	945.09	12/11/2009	Gabbi Palatini	museum	10.6	Europe/Paris	manufacturing
Mingyuedian	3478069	47705.61	517.14	12/30/1945	Eddie Jovey	museum	-16.2	Asia/Shanghai	tourism
Sulahan	8186618	25294.89	133.66	3/21/1941	Sergeant Saltrese	monument	-10.1	Asia/Makassar	manufacturing
Shuiquan	338878	87004.61	823.25	11/9/1815	Amalle Buey	monument	-2.0	Asia/Harbin	technology
Gaojiabu	3408973	42059.34	649.48	9/4/1962	Otha Elion	park	35.7	Asia/Shanghai	tourism
Zouérat	1844803	37584.37	643.54	6/22/1762	Alyce Ledley	museum	31.7	Africa/El_Aaiun	technology
Januária	1527626	88968.8	644.5	5/19/1710	Arabella Guilaem	museum	-12.8	America/Sao_Paulo	technology
Skhodnya	6190948	60608.8	291.59	5/14/1997	Hymie Iwanowski	museum	-16.7	Europe/Moscow	manufacturing
Jenang Selatan	6677817	88438.09	438.64	6/17/1902	Linell Dugdale	museum	13.7	Asia/Jakarta	tourism
Beiyang	1790083	98272.11	306.67	11/22/1726	Phip Bawden	museum	39.8	Asia/Shanghai	tourism
Volodarka	9558368	21833.02	280.82	5/13/1766	Myrvyn Richardet	museum	34.9	Europe/Kiev	manufacturing
Montelíbano	4722561	74660.14	100.94	7/20/1752	Vicky Vauls	museum	-9.2	America/Bogota	manufacturing
Fershampenuaz	1747384	45356.49	668.16	6/27/1773	Eugine Bristowe	museum	11.8	Asia/Yekaterinburg	manufacturing
Bantarpanjang	6696364	37969.23	95.72	1/12/1759	Aldrich Salomon	monument	39.2	Asia/Jakarta	tourism
Bestala	596033	98571.15	450.66	6/17/1722	Lucie Skayman	monument	-10.8	Asia/Makassar	manufacturing
Jalapa	1971443	84552.89	42.01	5/1/1931	Pattin Krishtopaittis	museum	35.2	America/Managua	technology
Aozai	5013354	95266.35	642.77	10/14/1847	Bradan Byatt	monument	31.8	Asia/Chongqing	manufacturing
General Arenales	715121	65875.21	257.0	6/15/1778	Alberto Ashborne	park	24.4	America/Argentina/Buenos_Aires	tourism
Virden	3467556	94913.15	300.99	1/4/1784	Ibrahim Haysar	museum	31.3	America/Winnipeg	manufacturing
Bontang Baru	5383164	51093.03	403.01	12/27/1968	Pauly Learmonth	park	31.8	Asia/Makassar	tourism
Saboyá	6203563	54382.63	940.0	9/25/1745	Jarrad Karle	museum	-16.7	America/Bogota	technology
København	6569151	54674.35	332.54	5/20/1814	Tedi Smyley	museum	1.8	Europe/Copenhagen	manufacturing
Mumen	1868408	43830.2	681.72	9/3/1914	Rhody Desantis	museum	9.3	Asia/Chongqing	technology
Fernández	355780	28662.83	442.03	6/20/1904	Calypso Asel	museum	14.1	America/Argentina/Cordoba	technology
Jiamiao	9993209	68812.54	738.06	1/23/1873	Nico Wolstenholme	museum	-8.0	Asia/Shanghai	tourism
Lantian	4016041	86607.12	454.91	11/2/1956	Jase Morville	monument	4.1	Asia/Chongqing	manufacturing
Lubumbashi	5195463	83929.47	977.87	2/24/1892	Imelda Martinson	museum	4.3	Africa/Lubumbashi	tourism
Ruda-Huta	6504517	96844.3	749.6	2/2/1712	Ruben Squirrell	park	21.1	Europe/Warsaw	manufacturing
Ilhéus	4386724	27115.07	460.74	5/15/1799	Cate Fairnington	museum	16.0	America/Bahia	manufacturing
Pukekohe East	4323107	20170.06	411.21	4/26/1716	Sly MacCurlye	museum	8.0	Pacific/Auckland	technology
Bogdanovich	2300604	42742.09	232.84	11/7/1838	Jodie Logesdale	monument	-18.0	Asia/Yekaterinburg	manufacturing
Minbu	8688830	46437.03	383.09	10/12/1873	Sianna Stoyles	monument	37.8	Asia/Rangoon	manufacturing
Buenavista	3330745	65268.37	579.09	4/15/1848	Nicolis Port	monument	27.2	America/Bogota	tourism
Misau	6068787	46336.4	374.38	1/21/1959	Sherry Angrick	monument	-3.7	Africa/Lagos	technology
Umeå	8812428	65645.29	808.75	9/14/1724	Lonee Snashall	monument	2.3	Europe/Stockholm	manufacturing
Colegiales	806733	23735.76	973.08	4/1/1818	Edyth Adamiak	monument	7.2	America/Argentina/Buenos_Aires	tourism
Ipu	744676	93393.91	463.14	6/5/1734	Wallache Hollington	monument	16.2	America/Fortaleza	manufacturing
Gaopu	7857113	82746.06	924.6	2/15/1816	Gasper Keyzor	park	8.1	Asia/Shanghai	manufacturing
Bromma	611258	42356.29	308.1	11/27/1977	Hedy Peasegod	museum	-2.4	Europe/Stockholm	manufacturing
Vale de Figueira	9819264	41080.38	362.11	12/24/1954	Tomasina Landes	museum	7.4	Europe/Lisbon	technology
Cipicung	1376052	20031.74	939.83	9/21/1952	Prinz McCurtain	museum	4.6	Asia/Jakarta	technology
Lijie	6678819	51464.6	734.82	6/18/2017	Jedediah Miskelly	monument	29.0	Asia/Chongqing	tourism
Touguinha	2296040	61519.94	480.57	1/27/1878	Bendicty Scholar	museum	-10.2	Europe/Lisbon	tourism
Khashuri	1558999	68359.68	137.32	1/10/1725	Vincenz Nowak	museum	8.0	Asia/Tbilisi	manufacturing
Kuangshan	7806677	94888.8	389.12	11/24/1823	Nikki Foystone	monument	-9.2	Asia/Chongqing	technology
Bida	548416	69795.79	66.94	1/13/1818	Cordie Schuchmacher	museum	25.5	Africa/Lagos	tourism
Vũ Quang	7543535	73048.74	390.23	9/15/1737	Berni Skitteral	park	-18.4	Asia/Ho_Chi_Minh	manufacturing
Cumaná	50191	77660.04	407.35	4/1/1959	Kandy Kuhlen	park	-13.3	America/Caracas	manufacturing
Amparo	7896182	68780.53	961.13	7/13/1918	Nikaniki Colliar	museum	38.9	America/Sao_Paulo	technology
Miharu	9955685	23579.65	673.61	1/16/1837	Keene Wellings	park	5.9	Asia/Tokyo	technology
Duowa	2065449	76370.4	867.55	5/13/1808	Arlana Belitz	park	-2.4	Asia/Chongqing	manufacturing
Naikolan	5567268	63570.97	604.02	2/10/2016	Mirabelle Ferens	monument	-16.1	Asia/Makassar	technology
Mianduhe	7714087	33251.58	97.35	11/11/1901	Hilda Fitzmaurice	monument	-4.5	Asia/Harbin	manufacturing
Sumberkrajan	3692143	25931.02	944.4	8/7/1708	Leicester Matfin	museum	-13.7	Asia/Jakarta	tourism
Jalpatagua	9892550	51252.94	166.98	4/23/1910	Silas Thebeau	monument	1.3	America/Guatemala	technology
Casal Novo	2830808	28706.42	628.04	4/13/1824	Gwendolin Vint	museum	11.9	Europe/Lisbon	technology
Mainang	8679459	84429.46	648.65	10/7/1904	Carroll Khoter	museum	33.1	Asia/Makassar	technology
Kaz	8505488	86275.2	945.01	11/3/1922	Eleonora Huskinson	park	6.0	Asia/Novokuznetsk	manufacturing
Coutada	2340552	73076.69	512.22	8/6/2017	Christie Ellul	museum	-20.0	Europe/Lisbon	technology
Fundación	9230619	25099.22	93.61	11/29/1789	Emmett Hendonson	museum	0.5	America/Santo_Domingo	tourism
Kanluran	2882522	63371.42	768.65	8/18/2011	Abdel Manns	monument	30.2	Asia/Manila	technology
Vardenik	3361463	89280.26	532.28	2/20/1742	Barton Prue	monument	31.4	Asia/Yerevan	technology
Belize City	5699812	83780.89	529.88	9/17/1871	Brucie Pardal	museum	24.8	America/Belize	manufacturing
Bunigeulis	7492739	99935.75	616.3	3/2/2009	Brig Gladstone	park	-16.1	Asia/Jakarta	tourism
Cheremnoye	7287105	78645.19	526.18	8/21/1952	Roldan De la Eglise	museum	18.8	Asia/Omsk	technology
Nanzhao	2960036	55820.27	863.75	3/17/1979	Cheryl Stockdale	museum	34.8	Asia/Shanghai	technology
Aleg	2716359	36595.28	31.24	8/27/1727	Towney Stanhope	museum	2.7	Africa/Dakar	tourism
Bebekan	4552312	39012.31	778.03	6/14/1848	Lucio Januszewski	museum	1.0	Asia/Jakarta	tourism
Herceg-Novi	370984	43711.78	851.54	12/27/2013	Lise Scramage	park	23.5	Europe/Sarajevo	technology
Horad Smalyavichy	1934117	39472.31	96.3	6/13/1740	Lorena Shand	museum	-9.8	Europe/Minsk	manufacturing
Yangtan	7290857	24022.13	668.11	6/1/1959	Freedman Wrightham	museum	-14.8	Asia/Chongqing	tourism
Denglong	3898941	98290.3	612.73	5/26/1737	Jarib Beardwood	monument	9.3	Asia/Shanghai	technology
Garibaldi	2549608	61992.43	467.63	4/17/2017	Homer Basnall	monument	-0.3	America/Sao_Paulo	tourism
Fukushima-shi	4660993	49140.24	710.43	4/26/1926	Chan McGrey	park	25.8	Asia/Tokyo	technology
Klerksdorp	1026415	63838.83	620.32	11/10/1885	Norrie Songist	museum	20.3	Africa/Johannesburg	technology
Khon Kaen	7296528	71726.97	897.92	2/12/1918	Lindie Marchington	museum	33.4	Asia/Bangkok	technology
Kaffrine	2092792	29955.44	161.18	8/21/1998	Launce Petrushanko	museum	13.4	Africa/Dakar	technology
Nanhe	3720929	82863.64	155.29	12/16/1783	Gardie Nicklen	park	-7.0	Asia/Chongqing	tourism
Nkurenkuru	3540188	98573.25	374.2	5/2/1973	Ive Tregidga	monument	19.1	Africa/Windhoek	technology
Krasnyy Profintern	4765286	56822.3	665.81	2/25/1944	Traci Coole	museum	-3.1	Europe/Moscow	manufacturing
Bolinao	4166524	84665.88	579.33	10/21/1713	Armando Lankford	museum	23.4	Asia/Manila	technology
Paciran	7984902	87761.48	701.78	11/28/1825	Sallyann Millett	monument	-17.7	Asia/Jakarta	technology
Thành phố Bạc Liêu	2954702	33663.63	54.65	10/31/1701	Conrade Oleszkiewicz	monument	13.1	Asia/Ho_Chi_Minh	technology
San Andres	6424162	41425.98	621.53	2/26/1911	Dannel Blaze	park	-7.2	Asia/Manila	technology
Győr	6543825	51698.41	413.06	5/10/1716	Ted Attew	park	36.7	Europe/Budapest	tourism
Belišće	1797520	50804.6	306.76	7/17/1760	Suzanne Vermer	museum	18.2	Europe/Zagreb	technology
Chitré	9769176	99183.08	514.47	3/4/1848	Hamilton Dimmack	museum	1.0	America/Panama	tourism
Puyuan	6565731	83738.3	628.16	1/7/1712	Carolus Coleiro	museum	12.6	Asia/Shanghai	manufacturing
Los Mangos	715363	92978.69	898.92	5/4/1704	Darsey Steutly	museum	4.2	America/Mexico_City	manufacturing
Guacamaya	9808389	91438.53	238.09	12/9/1885	Ermin Tarpey	park	-15.7	America/Tegucigalpa	manufacturing
Město	5850101	87069.73	425.32	1/16/1775	Meriel Brissenden	park	35.5	Europe/Prague	technology
Pancoran	7659269	27480.61	737.9	5/12/1995	Charissa Amoss	park	27.9	Asia/Jakarta	technology
Gununglajang	381189	57339.17	596.87	12/22/1760	Willey Clear	park	22.2	Asia/Jakarta	manufacturing
Union	2737926	31295.39	542.27	11/18/1750	Rora Battams	park	22.2	Asia/Manila	tourism
Madison	5677964	63597.16	363.14	6/1/1728	Carolann Timmins	museum	26.5	America/Chicago	tourism
Linköping	5609745	80017.67	559.85	4/10/1892	Bradley Macieja	monument	6.3	Europe/Stockholm	manufacturing
Champerico	5937671	42687.75	171.74	10/23/1928	Shaylynn Hurley	monument	28.3	America/Guatemala	manufacturing
Mosfilotí	6921633	27425.68	786.92	9/25/1704	Crawford Milsted	park	-14.2	Asia/Nicosia	technology
Kostarea Satu	1672229	49311.26	208.79	1/26/1746	Katinka Bartlet	museum	13.1	Asia/Jakarta	technology
Kamensk-Ural’skiy	2785181	47484.03	628.67	9/12/1872	Onofredo McInerney	museum	-5.9	Asia/Yekaterinburg	manufacturing
Senhor da Serra	2995084	30734.9	610.69	12/7/1997	Heda Sevier	museum	39.6	Europe/Lisbon	manufacturing
Peace River	2787063	84557.88	406.31	7/7/2015	Natty Borge	park	12.6	America/Edmonton	tourism
Karney Shomron	4359023	88597.06	351.12	12/1/1872	Gaelan Meysham	museum	39.5	Asia/Hebron	technology
Jiangkou	7706869	36653.29	236.33	12/2/2010	Gussie Knight	museum	18.2	Asia/Chongqing	technology
Bugana	2541030	97888.8	232.51	4/29/1707	Joey Berfoot	museum	38.0	Africa/Lagos	tourism
Xinfeng	2030136	30226.0	527.13	8/28/1843	Meggy Yandle	museum	27.6	Asia/Shanghai	technology
Youxi	9476607	50286.31	77.27	6/6/1849	Jase Bibby	monument	37.8	Asia/Chongqing	tourism
Panjir	1791512	23750.45	946.24	5/26/1858	Obadias Featherstonehaugh	park	18.7	Asia/Makassar	tourism
Purral	3851848	95214.93	333.05	12/5/1901	Kellina Ruprecht	monument	-9.1	America/Costa_Rica	tourism
Sokoto	5725975	43175.52	264.04	2/9/2004	Rawley Bradly	museum	2.2	Africa/Lagos	manufacturing
Cimuncang	7739567	81631.99	855.21	3/28/1865	Salmon Godrich	monument	-10.3	Asia/Jakarta	technology
Sekartaji	6482407	51973.11	811.19	1/18/1886	Felizio Peidro	park	31.3	Asia/Makassar	technology
Janów	4344188	75468.57	335.09	5/17/1856	Dieter Igounet	monument	-6.4	Europe/Warsaw	manufacturing
Barroso	2178637	69015.41	652.44	9/26/1898	Kristyn Bleby	museum	-10.2	America/Sao_Paulo	manufacturing
Topolná	2565226	41044.79	586.36	10/16/1917	Caitrin Kerfoot	monument	2.3	Europe/Prague	tourism
Krajan Satu	3625042	21516.18	502.8	6/14/1941	Reidar Branney	monument	30.2	Asia/Jakarta	technology
Washington	3664264	22825.86	567.1	7/9/1738	Colan Tunniclisse	park	11.1	America/New_York	tourism
Laocheng	8678776	68502.9	212.67	4/17/1709	Keely Oram	park	36.0	Asia/Chongqing	manufacturing
El Quetzal	9223380	81921.75	588.66	7/19/1853	Craggy Haldin	monument	4.0	America/Guatemala	technology
Ilopango	7111654	95039.24	729.93	4/24/1977	Calypso Perillo	museum	10.9	America/El_Salvador	tourism
Le Havre	1362599	74433.54	447.91	10/24/1961	Hazlett Possel	monument	24.8	Europe/Paris	tourism
Novoshakhtinskiy	647459	45572.86	784.47	8/12/1736	Vanni Edgworth	park	-11.4	Asia/Vladivostok	technology
Somovo	2599303	21358.48	519.93	10/18/1895	Paloma Dimitriev	monument	-4.3	Europe/Moscow	technology
Kostanay	7393697	43842.73	260.89	7/9/1939	Ronna Justun	monument	30.4	Asia/Qyzylorda	technology
Oslo	4075677	32754.44	771.32	7/24/1951	Portie Tummons	museum	2.0	Europe/Oslo	tourism
Yasnogorsk	3728962	89135.09	539.83	1/5/1931	Kristel Benge	park	23.1	Europe/Moscow	technology
Cobre	1944691	89664.78	44.32	12/1/1824	Didi O'Cooney	monument	17.1	Europe/Lisbon	technology
Gaosheng	8970976	32216.44	642.83	7/16/1749	Oby D'Aguanno	monument	-4.5	Asia/Chongqing	tourism
Tangguhang	5376721	52028.03	620.38	9/22/1950	Fredrika McLaren	museum	-4.5	Asia/Makassar	tourism
